AptID;RwyID;ACCat;AppTyp;RwyDir;DH;RVR;AppClassification;AppGuidance;AppSystemMinima;AppPrecisionTyp
LTAF;5;D;CIRC ;48;1137;3600;Type A;2D;4;NPA
LTAF;23;C;CIRC ;228;1137;2400;Type A;2D;4;NPA
LTAF;23;D;CIRC ;228;1137;3600;Type A;2D;4;NPA
LTAF;ALL ;C;ETOPS;0;452;1400;NULL;NULL;NULL;NULL
LTAF;ALL ;D;ETOPS;0;452;1400;NULL;NULL;NULL;NULL
LTAG;5;C;ILS  ;46;250;550;Type A;3D;0;PA
LTAG;5;D;ILS  ;46;260;600;Type A;3D;0;PA
LTAG;5;D;LOC  ;46;431;1300;Type A;2D;1;NPA
LTAG;5;C;LOC  ;46;431;1300;Type A;2D;1;NPA
LTAG;5;C;ALTN ;46;450;1350;NULL;NULL;NULL;NULL
LTAG;5;D;RNAV ;46;451;1400;Type A;2D;1;NPA
LTAG;5;C;RNAV ;46;451;1400;Type A;2D;1;NPA
LTAG;5;D;ALTN ;46;460;1400;NULL;NULL;NULL;NULL
LTAG;23;C;ILS  ;226;233;550;Type B;3D;0;PA
LTAG;23;D;ILS  ;226;243;550;Type B;3D;0;PA
LTAG;23;C;ALTN ;227;383;1000;NULL;NULL;NULL;NULL
LTAG;23;D;ALTN ;227;393;1000;NULL;NULL;NULL;NULL
LTAG;23;C;LOC  ;226;606;2800;Type A;2D;1;NPA
LTAG;23;D;LOC  ;226;606;2800;Type A;2D;1;NPA
LTAG;23;D;RNAV ;226;656;3000;Type A;2D;1;NPA
LTAG;23;C;RNAV ;226;656;3000;Type A;2D;1;NPA
LTAG;ALL ;C;ETOPS;0;433;1350;NULL;NULL;NULL;NULL
LTAG;ALL ;D;ETOPS;0;443;1350;NULL;NULL;NULL;NULL
LTAH;13L ;C;CIRC ;128;990;2400;Type A;2D;4;NPA
LTAH;13L ;D;CIRC ;128;990;3600;Type A;2D;4;NPA
LTAH;13R ;C;CIRC ;128;990;2400;Type A;2D;4;NPA
LTAH;13R ;D;CIRC ;128;990;3600;Type A;2D;4;NPA
LTAH;31L ;C;CIRC ;308;990;2400;Type A;2D;4;NPA
LTAH;31L ;D;CIRC ;308;990;3600;Type A;2D;4;NPA
LTAH;31R ;C;ILSW ;308;200;550;Type B;3D;0;PA
LTAH;31R ;C;ILSZ ;308;200;550;Type B;3D;0;PA
LTAH;31R ;D;ILSW ;308;200;550;Type B;3D;0;PA
LTAH;31R ;D;ILSZ ;308;200;550;Type B;3D;0;PA
LTAH;31R ;C;ILSY ;309;200;800;Type B;3D;0;PA
LTAH;31R ;D;ILSY ;309;200;800;Type B;3D;0;PA
LTAH;31R ;C;ALTN ;308;350;1000;NULL;NULL;NULL;NULL
LTAH;31R ;D;ALTN ;308;350;1000;NULL;NULL;NULL;NULL
LTAH;31R ;C;LOCY ;308;434;1200;Type A;2D;1;NPA
LTAH;31R ;C;LOCZ ;308;434;1400;Type A;2D;1;NPA
LTAH;31R ;D;LOCW ;308;434;1400;Type A;2D;1;NPA
LTAH;31R ;D;LOCZ ;308;434;1400;Type A;2D;1;NPA
LTAH;31R ;C;LOCW ;308;434;1400;Type A;2D;1;NPA
LTAH;31R ;C;RNAV ;308;475;1500;Type A;2D;1;NPA
LTAH;31R ;D;RNAV ;308;475;1500;Type A;2D;1;NPA
LTAH;31R ;D;LOCY ;308;434;1600;Type A;2D;1;NPA
LTAH;31R ;C;CIRC ;308;990;2400;Type A;2D;4;NPA
LTAH;31R ;D;CIRC ;308;990;3600;Type A;2D;4;NPA
LTAH;ALL ;C;ETOPS;0;400;1350;NULL;NULL;NULL;NULL
LTAH;ALL ;D;ETOPS;0;400;1350;NULL;NULL;NULL;NULL
LTAI;18C ;C;ILSY ;0;200;550;Type B;3D;0;PA
LTAI;18C ;C;ILSZ ;0;200;550;Type B;3D;0;PA
LTAI;18C ;D;ILSY ;0;200;550;Type B;3D;0;PA
LTAI;18C ;D;ILSZ ;0;200;550;Type B;3D;0;PA
LTAI;18C ;C;ILSX ;181;200;550;Type B;3D;0;PA
LTAI;18C ;D;ILSX ;181;200;550;Type B;3D;0;PA
LTAI;18C ;C;ALTN ;181;300;850;NULL;NULL;NULL;NULL
LTAI;18C ;D;ALTN ;181;300;850;NULL;NULL;NULL;NULL
LTAI;18C ;C;LOCX ;181;508;1600;Type A;2D;1;NPA
LTAI;18C ;D;LOCX ;181;508;1600;Type A;2D;1;NPA
LTAI;18C ;C;VORZ ;0;508;1600;Type A;2D;2;NPA
LTAI;18C ;D;VORZ ;0;508;1600;Type A;2D;2;NPA
LTAI;18C ;C;LOCY ;181;508;1600;Type A;2D;1;NPA
LTAI;18C ;C;LOCZ ;181;508;1600;Type A;2D;1;NPA
LTAI;18C ;D;LOCY ;181;508;1600;Type A;2D;1;NPA
LTAI;18C ;D;LOCZ ;181;508;1600;Type A;2D;1;NPA
LTAI;18C ;C;CIRC ;181;923;2400;Type A;2D;4;NPA
LTAI;18C ;D;CIRC ;181;923;3600;Type A;2D;4;NPA
LTAI;18L ;C;ILSY ;181;200;550;Type B;3D;0;PA
LTAI;18L ;D;ILSY ;181;200;550;Type B;3D;0;PA
LTAI;18L ;C;ILSZ ;181;214;550;Type B;3D;0;PA
